,Cluster_Cliente,Credit_Limit,Total_Trans_Amt,Probabilidad_Churn,Estrategia_Asignada,Prediccion_Final,Churn_Real
8955,0,6103.0,8080,0.005524689627158397,Sin Acción (Cliente Estable),0,0
8569,3,5027.0,4850,0.005801120213114957,Sin Acción (Cliente Estable),0,0
8026,0,3918.0,2115,0.9361097276237721,ALIVIO FINANCIERO: Reestructuración (Descuento de Tasa / Pagos Fijos),1,1
3311,2,31458.0,4202,0.002954234985164854,Sin Acción (Cliente Estable),0,0
5194,3,8973.0,4699,0.003077971188464918,Sin Acción (Cliente Estable),0,0
1405,3,16049.0,1989,0.1376764980760775,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
2393,0,2267.0,3709,0.002236440453701145,Sin Acción (Cliente Estable),0,0
2172,3,5366.0,1748,0.006219172398921027,Sin Acción (Cliente Estable),0,0
10,0,6748.0,1201,0.005188633183473686,Sin Acción (Cliente Estable),0,0
1998,0,2618.0,3319,0.001535775382201834,Sin Acción (Cliente Estable),0,0
3561,2,18799.0,2315,0.912741539652457,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,1
1666,0,3735.0,1877,0.004042708467472098,Sin Acción (Cliente Estable),0,0
4580,0,2974.0,4297,0.001774214201018465,Sin Acción (Cliente Estable),0,0
813,3,7474.0,732,0.9281578882630759,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
1614,3,1438.3,2249,0.5995908558679619,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
5483,0,1786.0,4306,0.0014834014101117324,Sin Acción (Cliente Estable),0,0
1433,0,3023.0,1920,0.007369790540495849,Sin Acción (Cliente Estable),0,0
6659,0,2875.0,4399,0.002070249693941646,Sin Acción (Cliente Estable),0,0
8228,3,1894.0,5750,0.27133384819169265,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
7765,0,2516.0,4692,0.002361654948304532,Sin Acción (Cliente Estable),0,0
8519,0,6330.0,3029,0.8734894632920555,ALIVIO FINANCIERO: Reestructuración (Descuento de Tasa / Pagos Fijos),1,0
7910,0,4945.0,4037,0.0029173670407583855,Sin Acción (Cliente Estable),0,0
8186,3,1895.0,2472,0.988211025493716,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
7502,3,7382.0,4792,0.007257109023732718,Sin Acción (Cliente Estable),0,0
5810,3,1699.0,5495,0.0060271379524672606,Sin Acción (Cliente Estable),0,0
2755,0,3203.0,2625,0.005430378775023731,Sin Acción (Cliente Estable),0,0
9088,1,11135.0,8777,0.00431557000514289,Sin Acción (Cliente Estable),0,0
1606,0,2220.0,1685,0.008680765062057182,Sin Acción (Cliente Estable),0,0
6681,0,2411.0,4812,0.0017871599786948714,Sin Acción (Cliente Estable),0,0
7301,0,2300.0,4538,0.001649285809811038,Sin Acción (Cliente Estable),0,0
431,0,3502.0,1814,0.003957997720531179,Sin Acción (Cliente Estable),0,0
3455,0,2934.0,2484,0.7274693674951694,ALIVIO FINANCIERO: Reestructuración (Descuento de Tasa / Pagos Fijos),1,0
16,2,30367.0,1671,0.004363935537092658,Sin Acción (Cliente Estable),0,0
6667,0,5791.0,2516,0.06397644798484836,Sin Acción (Cliente Estable),0,1
3068,3,14622.0,4632,0.12942479532751183,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
1043,3,1438.3,840,0.7387477687901566,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
1063,3,9428.0,1457,0.006853784401001671,Sin Acción (Cliente Estable),0,0
6691,0,3347.0,5533,0.00617362538303944,Sin Acción (Cliente Estable),0,0
7065,3,3477.0,2113,0.952005543837302,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
951,3,14302.0,1505,0.035200438014629076,Sin Acción (Cliente Estable),0,0
2015,0,3312.0,2670,0.492692948818578,ALIVIO FINANCIERO: Reestructuración (Descuento de Tasa / Pagos Fijos),1,0
2577,0,3251.0,1406,0.012203747603005697,Sin Acción (Cliente Estable),0,0
7900,3,1438.3,2549,0.8864553536809142,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
9595,1,9070.0,15211,0.0020490914414710124,Sin Acción (Cliente Estable),0,0
7674,3,3223.0,4916,0.0031328911984878434,Sin Acción (Cliente Estable),0,0
1674,0,4323.0,3078,0.009333561318389609,Sin Acción (Cliente Estable),0,0
3179,0,3299.0,4312,0.004051044891541925,Sin Acción (Cliente Estable),0,0
8529,3,4850.0,4187,0.001841857418728451,Sin Acción (Cliente Estable),0,0
6016,0,2749.0,3882,0.0015778340124165372,Sin Acción (Cliente Estable),0,0
2705,2,21695.0,2266,0.002595942695367442,Sin Acción (Cliente Estable),0,0
3831,2,34516.0,4026,0.004407832909750457,Sin Acción (Cliente Estable),0,0
148,0,5349.0,1343,0.0037735140318207435,Sin Acción (Cliente Estable),0,0
7286,3,1438.3,4479,0.008614408459380036,Sin Acción (Cliente Estable),0,0
9215,1,3429.0,14107,0.0029216714771889757,Sin Acción (Cliente Estable),0,0
4261,3,8589.0,3553,0.003912349484998892,Sin Acción (Cliente Estable),0,0
8358,2,34516.0,4520,0.0034408749272423164,Sin Acción (Cliente Estable),0,0
9826,1,5702.0,14970,0.004740071094807255,Sin Acción (Cliente Estable),0,0
9909,1,34516.0,14319,0.0029653827662340783,Sin Acción (Cliente Estable),0,0
1515,0,2998.0,1825,0.1129814267934153,Sin Acción (Cliente Estable),0,0
2163,0,9652.0,3762,0.005462872040198406,Sin Acción (Cliente Estable),0,0
8468,0,2468.0,4426,0.002702135396222229,Sin Acción (Cliente Estable),0,0
7689,0,6083.0,4528,0.0018724310671155238,Sin Acción (Cliente Estable),0,0
4059,0,2517.0,4528,0.0016951913821213424,Sin Acción (Cliente Estable),0,0
8954,1,8758.0,7680,0.004823579325666585,Sin Acción (Cliente Estable),0,0
1656,0,2665.0,1880,0.007275221511275892,Sin Acción (Cliente Estable),0,0
564,3,6462.0,761,0.9878425013579699,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
6122,0,2873.0,4620,0.0014860314115129742,Sin Acción (Cliente Estable),0,0
491,2,24480.0,1416,0.002889957719020387,Sin Acción (Cliente Estable),0,0
6094,0,1620.0,4530,0.0024146895143338227,Sin Acción (Cliente Estable),0,0
2408,2,34516.0,1906,0.014526690464764716,Sin Acción (Cliente Estable),0,0
2461,0,10606.0,2694,0.0067158818572306545,Sin Acción (Cliente Estable),0,0
5698,0,1904.0,4798,0.0016907240687285034,Sin Acción (Cliente Estable),0,0
5451,3,7492.0,3668,0.0024567218081490397,Sin Acción (Cliente Estable),0,0
7780,0,2129.0,4509,0.004735696675333451,Sin Acción (Cliente Estable),0,0
4093,3,14782.0,3206,0.00978924165120865,Sin Acción (Cliente Estable),0,0
1038,3,4214.0,1389,0.006420170256961815,Sin Acción (Cliente Estable),0,0
1897,0,8500.0,1618,0.03501088009960317,Sin Acción (Cliente Estable),0,0
2661,0,2361.0,4316,0.001765415716783897,Sin Acción (Cliente Estable),0,0
5080,2,14854.0,3659,0.0030965120188565696,Sin Acción (Cliente Estable),0,0
3596,3,9904.0,1152,0.9116441118127848,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
3239,0,2364.0,3230,0.005393062094111757,Sin Acción (Cliente Estable),0,0
244,0,1982.0,1377,0.004699411112244501,Sin Acción (Cliente Estable),0,0
6925,0,1438.3,3855,0.001866616559255951,Sin Acción (Cliente Estable),0,0
6940,0,2811.0,4275,0.0017853097297929287,Sin Acción (Cliente Estable),0,0
7257,0,3300.0,3784,0.0420969660728852,Sin Acción (Cliente Estable),0,0
4411,0,9727.0,3543,0.0037777598005553793,Sin Acción (Cliente Estable),0,0
