CLIENTNUM,Cluster_Cliente,Probabilidad_Churn,Prediccion_Final,Estrategia_Asignada
768805383,2,0.005962622540405826,0,Sin Acción (Cliente Estable)
818770008,0,0.004087460733139738,0,Sin Acción (Cliente Estable)
713982108,0,0.012135827114830026,0,Sin Acción (Cliente Estable)
769911858,0,0.0067130353503980795,0,Sin Acción (Cliente Estable)
709106358,0,0.14722931438186762,1,REACCIÓN BALANCEADA: Punto de Equilibrio
713061558,0,0.005267953184773402,0,Sin Acción (Cliente Estable)
810347208,2,0.004891074255006341,0,Sin Acción (Cliente Estable)
818906208,2,0.1380498748220677,0,Sin Acción (Cliente Estable)
710930508,2,0.0034659872543074733,0,Sin Acción (Cliente Estable)
719661558,0,0.003385278911712403,0,Sin Acción (Cliente Estable)
708790833,0,0.005188633183473686,0,Sin Acción (Cliente Estable)
710821833,0,0.002709984770287071,0,Sin Acción (Cliente Estable)
710599683,2,0.012076451985891542,0,Sin Acción (Cliente Estable)
816082233,0,0.0031409214204032527,0,Sin Acción (Cliente Estable)
712396908,3,0.006715922405702715,0,Sin Acción (Cliente Estable)
714885258,0,0.0040512206910149435,0,Sin Acción (Cliente Estable)
709967358,2,0.004363935537092658,0,Sin Acción (Cliente Estable)
753327333,2,0.015029425251565174,0,Sin Acción (Cliente Estable)
806160108,0,0.09642898903220691,0,Sin Acción (Cliente Estable)
709327383,3,0.003906793747371809,0,Sin Acción (Cliente Estable)
806165208,2,0.002407342473891248,0,Sin Acción (Cliente Estable)
708508758,3,0.9829880051732084,1,CAMPAÑA MASIVA: Red de Arrastre
784725333,0,0.021880047319523033,0,Sin Acción (Cliente Estable)
811604133,0,0.06429840772441316,0,Sin Acción (Cliente Estable)
789124683,3,0.01675103759592022,0,Sin Acción (Cliente Estable)
771071958,0,0.015321208972358375,0,Sin Acción (Cliente Estable)
720466383,2,0.004508985558238999,0,Sin Acción (Cliente Estable)
804424383,3,0.008601673571886015,0,Sin Acción (Cliente Estable)
718813833,3,0.28415129797958205,1,CAMPAÑA MASIVA: Red de Arrastre
806624208,0,0.009555936485811089,0,Sin Acción (Cliente Estable)
778348233,0,0.03496817584087551,0,Sin Acción (Cliente Estable)
712991808,0,0.04134118321768079,0,Sin Acción (Cliente Estable)
709029408,0,0.004030159596754057,0,Sin Acción (Cliente Estable)
788658483,0,0.002783881616501295,0,Sin Acción (Cliente Estable)
787937058,3,0.004368980749474939,0,Sin Acción (Cliente Estable)
715318008,0,0.009666382639442275,0,Sin Acción (Cliente Estable)
713962233,0,0.002851875602310041,0,Sin Acción (Cliente Estable)
785432733,3,0.981604457710048,1,CAMPAÑA MASIVA: Red de Arrastre
715190283,3,0.013501038585148884,0,Sin Acción (Cliente Estable)
708300483,3,0.9480481822719778,1,CAMPAÑA MASIVA: Red de Arrastre
827111283,2,0.9527846105049178,1,REACCIÓN BALANCEADA: Punto de Equilibrio
758551608,0,0.002403180262504691,0,Sin Acción (Cliente Estable)
773146383,2,0.007186042641729793,0,Sin Acción (Cliente Estable)
778493808,3,0.011646692724058334,0,Sin Acción (Cliente Estable)
720572508,0,0.5488182805693617,1,REACCIÓN BALANCEADA: Punto de Equilibrio
712661433,2,0.01677643617745017,0,Sin Acción (Cliente Estable)
789172683,0,0.0025929048223876207,0,Sin Acción (Cliente Estable)
738406533,0,0.002567520787758297,0,Sin Acción (Cliente Estable)
799723908,2,0.007146994623374358,0,Sin Acción (Cliente Estable)
771490833,3,0.007555953723739604,0,Sin Acción (Cliente Estable)
720756708,0,0.003828624112551044,0,Sin Acción (Cliente Estable)
779471883,0,0.9329640778405306,1,REACCIÓN BALANCEADA: Punto de Equilibrio
711525033,0,0.004939367192453936,0,Sin Acción (Cliente Estable)
712813458,2,0.11956565748698901,0,Sin Acción (Cliente Estable)
714374133,3,0.9878087793604122,1,CAMPAÑA MASIVA: Red de Arrastre
717891558,0,0.0416248057582038,0,Sin Acción (Cliente Estable)
716632758,0,0.27204483309526617,1,REACCIÓN BALANCEADA: Punto de Equilibrio
768563658,0,0.0028460186161074386,0,Sin Acción (Cliente Estable)
711427458,0,0.0033199471036859797,0,Sin Acción (Cliente Estable)
714091983,0,0.006351793408478916,0,Sin Acción (Cliente Estable)
787584108,0,0.010701082824171308,0,Sin Acción (Cliente Estable)
712030833,2,0.9865260789461517,1,REACCIÓN BALANCEADA: Punto de Equilibrio
711481533,0,0.004759425207591344,0,Sin Acción (Cliente Estable)
710082708,2,0.2410426132959191,1,REACCIÓN BALANCEADA: Punto de Equilibrio
708155733,2,0.0036721672642101104,0,Sin Acción (Cliente Estable)
788979258,2,0.0069334860081069595,0,Sin Acción (Cliente Estable)
807986133,0,0.004225163386752819,0,Sin Acción (Cliente Estable)
788730933,0,0.03125152664504084,0,Sin Acción (Cliente Estable)
711314058,0,0.04949167152442543,0,Sin Acción (Cliente Estable)
717975333,2,0.2434955727562152,1,REACCIÓN BALANCEADA: Punto de Equilibrio
715971108,2,0.0034030471106865877,0,Sin Acción (Cliente Estable)
720096558,0,0.019937544560038982,0,Sin Acción (Cliente Estable)
719580033,0,0.018275156205174087,0,Sin Acción (Cliente Estable)
820582308,2,0.02958900584034006,0,Sin Acción (Cliente Estable)
789973308,2,0.0037801334412726406,0,Sin Acción (Cliente Estable)
712876233,0,0.008250886321578495,0,Sin Acción (Cliente Estable)
804595158,0,0.02801353286407482,0,Sin Acción (Cliente Estable)
714826758,0,0.01760903523476357,0,Sin Acción (Cliente Estable)
779058108,0,0.006420246253651986,0,Sin Acción (Cliente Estable)
710790258,2,0.006212808870277698,0,Sin Acción (Cliente Estable)
715623483,0,0.002002148753120436,0,Sin Acción (Cliente Estable)
715156383,2,0.005942523570230202,0,Sin Acción (Cliente Estable)
711013983,3,0.9862284092030087,1,CAMPAÑA MASIVA: Red de Arrastre
755420433,3,0.5620589139753865,1,CAMPAÑA MASIVA: Red de Arrastre
794543958,2,0.006075448258608487,0,Sin Acción (Cliente Estable)
716396358,0,0.002158020642720095,0,Sin Acción (Cliente Estable)
715398033,2,0.006262118816108567,0,Sin Acción (Cliente Estable)
711743883,3,0.12018320917123058,1,CAMPAÑA MASIVA: Red de Arrastre
719720058,2,0.0039977112242915135,0,Sin Acción (Cliente Estable)
778992108,3,0.010526830091344133,0,Sin Acción (Cliente Estable)
717539808,3,0.027898169146781563,0,Sin Acción (Cliente Estable)
714070758,2,0.002989767761785679,0,Sin Acción (Cliente Estable)
714107958,3,0.10571006588722474,1,CAMPAÑA MASIVA: Red de Arrastre
789140283,0,0.006281157834878227,0,Sin Acción (Cliente Estable)
715550508,0,0.004348466739659486,0,Sin Acción (Cliente Estable)
719712633,0,0.00561974356220146,0,Sin Acción (Cliente Estable)
772629333,3,0.026036978086726427,0,Sin Acción (Cliente Estable)
720336708,0,0.00392617932685006,0,Sin Acción (Cliente Estable)
802013583,0,0.006508978694070122,0,Sin Acción (Cliente Estable)
711887583,0,0.9456616424015153,1,REACCIÓN BALANCEADA: Punto de Equilibrio
714778833,2,0.0043709851896528915,0,Sin Acción (Cliente Estable)
713843283,2,0.006273187071357045,0,Sin Acción (Cliente Estable)
779155158,0,0.005932494582900906,0,Sin Acción (Cliente Estable)
721091583,0,0.007092337080274349,0,Sin Acción (Cliente Estable)
713572683,3,0.22424383295621245,1,CAMPAÑA MASIVA: Red de Arrastre
716657058,3,0.9210864126008711,1,CAMPAÑA MASIVA: Red de Arrastre
779509983,2,0.08115062383442355,0,Sin Acción (Cliente Estable)
717929133,0,0.012005810284587354,0,Sin Acción (Cliente Estable)
808284783,3,0.0846603980476089,0,Sin Acción (Cliente Estable)
708476808,2,0.010461536034975585,0,Sin Acción (Cliente Estable)
710916408,3,0.003233962332237061,0,Sin Acción (Cliente Estable)
708492558,2,0.015047170449437808,0,Sin Acción (Cliente Estable)
799825758,0,0.014092805251378467,0,Sin Acción (Cliente Estable)
718619883,0,0.07680850949131439,0,Sin Acción (Cliente Estable)
711844758,3,0.0027684556406884085,0,Sin Acción (Cliente Estable)
714798783,2,0.004067545816065107,0,Sin Acción (Cliente Estable)
826762908,3,0.006528031260977959,0,Sin Acción (Cliente Estable)
771894558,0,0.0036150499635939095,0,Sin Acción (Cliente Estable)
721074183,2,0.006845037432293456,0,Sin Acción (Cliente Estable)
715259583,0,0.0066467899214707315,0,Sin Acción (Cliente Estable)
718414008,2,0.0950223621920285,0,Sin Acción (Cliente Estable)
719666283,0,0.0025395763148519657,0,Sin Acción (Cliente Estable)
714877233,0,0.0025382846736182922,0,Sin Acción (Cliente Estable)
785387883,0,0.013144950464680491,0,Sin Acción (Cliente Estable)
771075258,2,0.39384595544545753,1,REACCIÓN BALANCEADA: Punto de Equilibrio
711318033,3,0.02151517346234953,0,Sin Acción (Cliente Estable)
783554958,2,0.10286356446044839,0,Sin Acción (Cliente Estable)
720201033,0,0.926361655950146,1,REACCIÓN BALANCEADA: Punto de Equilibrio
718039683,2,0.0048050968437111305,0,Sin Acción (Cliente Estable)
710806083,0,0.013219430035392638,0,Sin Acción (Cliente Estable)
714752208,0,0.17367317123775472,1,REACCIÓN BALANCEADA: Punto de Equilibrio
822063408,0,0.010108870016743552,0,Sin Acción (Cliente Estable)
714490308,2,0.0033153398458301057,0,Sin Acción (Cliente Estable)
713356833,0,0.00887313668915386,0,Sin Acción (Cliente Estable)
711402333,3,0.4048366641306405,1,CAMPAÑA MASIVA: Red de Arrastre
708296883,3,0.004368279179237592,0,Sin Acción (Cliente Estable)
719154483,0,0.12864390759534727,1,REACCIÓN BALANCEADA: Punto de Equilibrio
717721458,0,0.004519239559682647,0,Sin Acción (Cliente Estable)
711112683,0,0.002550030054894825,0,Sin Acción (Cliente Estable)
715674483,0,0.040968559017124644,0,Sin Acción (Cliente Estable)
789322833,3,0.9873932214672185,1,CAMPAÑA MASIVA: Red de Arrastre
789968058,0,0.02531865871624015,0,Sin Acción (Cliente Estable)
709919283,0,0.0694030396902774,0,Sin Acción (Cliente Estable)
718744008,3,0.018572122857864085,0,Sin Acción (Cliente Estable)
767712558,3,0.9819270857234368,1,CAMPAÑA MASIVA: Red de Arrastre
712950783,3,0.9871676542733528,1,CAMPAÑA MASIVA: Red de Arrastre
716104983,0,0.0074916799467302985,0,Sin Acción (Cliente Estable)
818839983,0,0.002185935044580042,0,Sin Acción (Cliente Estable)
772288758,0,0.0037735140318207435,0,Sin Acción (Cliente Estable)
712350858,3,0.008559361912966797,0,Sin Acción (Cliente Estable)
711009708,2,0.026417349791355182,0,Sin Acción (Cliente Estable)
712720158,0,0.003368499251294353,0,Sin Acción (Cliente Estable)
712215258,2,0.9313520989463072,1,REACCIÓN BALANCEADA: Punto de Equilibrio
773827008,0,0.0074221039535700035,0,Sin Acción (Cliente Estable)
795232683,0,0.005068736262211573,0,Sin Acción (Cliente Estable)
713786508,3,0.10638724042042924,1,CAMPAÑA MASIVA: Red de Arrastre
713539833,3,0.010766210171041507,0,Sin Acción (Cliente Estable)
712454058,3,0.01333496098657722,0,Sin Acción (Cliente Estable)
718759833,2,0.019518828841310867,0,Sin Acción (Cliente Estable)
718803333,0,0.33304537609374313,1,REACCIÓN BALANCEADA: Punto de Equilibrio
720253908,0,0.003616782152365955,0,Sin Acción (Cliente Estable)
714133158,0,0.4302767688152517,1,REACCIÓN BALANCEADA: Punto de Equilibrio
713187033,2,0.003130844360650195,0,Sin Acción (Cliente Estable)
714791208,0,0.20466688174241554,1,REACCIÓN BALANCEADA: Punto de Equilibrio
772426383,0,0.0045491284892935835,0,Sin Acción (Cliente Estable)
710975883,0,0.01916339294977208,0,Sin Acción (Cliente Estable)
714264408,0,0.00482391972523588,0,Sin Acción (Cliente Estable)
715827858,0,0.002840729932633398,0,Sin Acción (Cliente Estable)
713741358,2,0.8617638338580268,1,REACCIÓN BALANCEADA: Punto de Equilibrio
709531908,3,0.14229683646271266,1,CAMPAÑA MASIVA: Red de Arrastre
716493408,2,0.0040426343868824755,0,Sin Acción (Cliente Estable)
714141108,3,0.006602520255773039,0,Sin Acción (Cliente Estable)
708953883,3,0.968996519396619,1,CAMPAÑA MASIVA: Red de Arrastre
712608783,2,0.013617230572040161,0,Sin Acción (Cliente Estable)
820353558,3,0.0047306249992740725,0,Sin Acción (Cliente Estable)
714964758,0,0.01085096473470452,0,Sin Acción (Cliente Estable)
716264358,2,0.07168364210939261,0,Sin Acción (Cliente Estable)
717296808,0,0.0034847484652762994,0,Sin Acción (Cliente Estable)
712977183,2,0.003960014644742745,0,Sin Acción (Cliente Estable)
710829108,3,0.09903261664147806,0,Sin Acción (Cliente Estable)
779562633,0,0.003308611072920262,0,Sin Acción (Cliente Estable)
715315833,0,0.005359967504350487,0,Sin Acción (Cliente Estable)
815500983,0,0.0028123732718158927,0,Sin Acción (Cliente Estable)
719360583,0,0.003546914339090954,0,Sin Acción (Cliente Estable)
709701558,2,0.09640989735829851,0,Sin Acción (Cliente Estable)
721148358,3,0.10001853416190655,0,Sin Acción (Cliente Estable)
779862408,3,0.032679852920855096,0,Sin Acción (Cliente Estable)
812627208,0,0.027001549716080105,0,Sin Acción (Cliente Estable)
711033408,3,0.003786568050102972,0,Sin Acción (Cliente Estable)
779956608,2,0.021341478511761602,0,Sin Acción (Cliente Estable)
780376683,0,0.003663426790788997,0,Sin Acción (Cliente Estable)
717912483,2,0.05764501398186764,0,Sin Acción (Cliente Estable)
714454758,0,0.0044227488731346295,0,Sin Acción (Cliente Estable)
780466533,2,0.006850287229427084,0,Sin Acción (Cliente Estable)
715735233,0,0.004962904474783707,0,Sin Acción (Cliente Estable)
720476733,3,0.6688133926660735,1,CAMPAÑA MASIVA: Red de Arrastre
715872333,2,0.005185521244754538,0,Sin Acción (Cliente Estable)
712375758,2,0.002112539916407729,0,Sin Acción (Cliente Estable)
708868233,0,0.9629410883601845,1,REACCIÓN BALANCEADA: Punto de Equilibrio
718030083,0,0.0023870817763721,0,Sin Acción (Cliente Estable)
720707283,3,0.011586304343234948,0,Sin Acción (Cliente Estable)
771698658,0,0.005900587809120073,0,Sin Acción (Cliente Estable)
748326258,0,0.004664931397815227,0,Sin Acción (Cliente Estable)
770817783,2,0.05636354762049582,0,Sin Acción (Cliente Estable)
779353083,2,0.014642581701797266,0,Sin Acción (Cliente Estable)
711441333,3,0.013442260441298533,0,Sin Acción (Cliente Estable)
719808558,3,0.9871823985256801,1,CAMPAÑA MASIVA: Red de Arrastre
711551958,3,0.9748421254589127,1,CAMPAÑA MASIVA: Red de Arrastre
809164083,0,0.05835862071322702,0,Sin Acción (Cliente Estable)
820596183,2,0.09669837086228728,0,Sin Acción (Cliente Estable)
715999608,0,0.003311332358797009,0,Sin Acción (Cliente Estable)
710565408,2,0.01472259759201704,0,Sin Acción (Cliente Estable)
805543158,0,0.0038148343048672244,0,Sin Acción (Cliente Estable)
709752183,0,0.03851526045824198,0,Sin Acción (Cliente Estable)
716479233,0,0.006354822244359462,0,Sin Acción (Cliente Estable)
713837058,0,0.009549579685042992,0,Sin Acción (Cliente Estable)
718876683,3,0.0045150532019086745,0,Sin Acción (Cliente Estable)
770746908,0,0.011417389844872514,0,Sin Acción (Cliente Estable)
794843883,2,0.013619430317377057,0,Sin Acción (Cliente Estable)
803043933,0,0.002791577859586839,0,Sin Acción (Cliente Estable)
758076408,0,0.331105925718848,1,REACCIÓN BALANCEADA: Punto de Equilibrio
714606558,0,0.002925407069427952,0,Sin Acción (Cliente Estable)
778425408,0,0.006242360262553338,0,Sin Acción (Cliente Estable)
714171108,0,0.01519088508195737,0,Sin Acción (Cliente Estable)
719662458,0,0.023349467591273237,0,Sin Acción (Cliente Estable)
713137233,2,0.010450747417062253,0,Sin Acción (Cliente Estable)
769425858,3,0.029848121431262035,0,Sin Acción (Cliente Estable)
711297483,0,0.04317030947345181,0,Sin Acción (Cliente Estable)
788900883,0,0.008664686951834618,0,Sin Acción (Cliente Estable)
758348808,2,0.005203355491019197,0,Sin Acción (Cliente Estable)
772336458,0,0.8805686003276265,1,REACCIÓN BALANCEADA: Punto de Equilibrio
708711483,2,0.030451597875063918,0,Sin Acción (Cliente Estable)
717906783,0,0.002777724562192734,0,Sin Acción (Cliente Estable)
719437908,2,0.004303837350066797,0,Sin Acción (Cliente Estable)
769433508,0,0.07870774565874147,0,Sin Acción (Cliente Estable)
790096533,0,0.0024677666679353465,0,Sin Acción (Cliente Estable)
720997383,0,0.9590411595101791,1,REACCIÓN BALANCEADA: Punto de Equilibrio
787541883,2,0.20868533643125023,1,REACCIÓN BALANCEADA: Punto de Equilibrio
709930758,3,0.0054297115178675,0,Sin Acción (Cliente Estable)
789830058,2,0.0032026699588078187,0,Sin Acción (Cliente Estable)
710299608,0,0.9535180975130763,1,REACCIÓN BALANCEADA: Punto de Equilibrio
710741208,0,0.006705840926157428,0,Sin Acción (Cliente Estable)
821797008,3,0.9881538737344235,1,CAMPAÑA MASIVA: Red de Arrastre
708874533,3,0.9762297800973012,1,CAMPAÑA MASIVA: Red de Arrastre
715341858,0,0.004699411112244501,0,Sin Acción (Cliente Estable)
793636308,0,0.30262346493960635,1,REACCIÓN BALANCEADA: Punto de Equilibrio
713779908,0,0.05141088600844153,0,Sin Acción (Cliente Estable)
712125258,3,0.9477776270858143,1,CAMPAÑA MASIVA: Red de Arrastre
709703433,2,0.0039015510111609945,0,Sin Acción (Cliente Estable)
721022433,0,0.1118323592320665,0,Sin Acción (Cliente Estable)
710103558,0,0.004781205360121435,0,Sin Acción (Cliente Estable)
715952883,0,0.002966874422842055,0,Sin Acción (Cliente Estable)
719731458,3,0.012198967417387383,0,Sin Acción (Cliente Estable)
772390908,3,0.9726035383538436,1,CAMPAÑA MASIVA: Red de Arrastre
787348608,0,0.005430033555919165,0,Sin Acción (Cliente Estable)
709485033,0,0.004334355262447168,0,Sin Acción (Cliente Estable)
715432608,2,0.0049729576283815856,0,Sin Acción (Cliente Estable)
799471833,0,0.008176633336996725,0,Sin Acción (Cliente Estable)
714187533,3,0.46675866603035415,1,CAMPAÑA MASIVA: Red de Arrastre
779656908,3,0.005716989719445907,0,Sin Acción (Cliente Estable)
788950158,2,0.30425284309718753,1,REACCIÓN BALANCEADA: Punto de Equilibrio
778867533,3,0.9795939991742668,1,CAMPAÑA MASIVA: Red de Arrastre
